13	13	0	0	
26	26	0	0	
39	28	11	0	
52	41	11	0	
65	54	11	0	
78	67	11	0	
91	80	11	0	
104	93	11	0	
117	106	11	0	
130	119	11	0	
143	132	11	0	
156	145	11	0	
169	158	11	0	
182	171	11	0	
195	173	22	0	
208	186	22	0	
221	199	22	0	
234	212	22	0	
247	225	22	0	
260	238	22	0	
273	251	22	0	
286	264	22	0	
299	266	33	0	
312	279	33	0	
325	292	33	0	
338	305	33	0	
351	318	33	0	
364	331	33	0	
377	344	33	0	
390	357	33	0	
403	370	33	0	
416	372	44	0	
429	385	44	0	
442	398	44	0	
13	13	0	0	
26	26	0	0	
39	28	11	0	
52	41	11	0	
65	54	11	0	
78	67	11	0	
91	80	11	0	
104	93	11	0	
117	106	11	0	
130	119	11	0	
143	132	11	0	
156	145	11	0	
169	158	11	0	
182	171	11	0	
195	173	22	0	
208	186	22	0	
221	199	22	0	
234	212	22	0	
247	225	22	0	
260	238	22	0	
273	251	22	0	
286	264	22	0	
299	266	33	0	
312	279	33	0	
325	292	33	0	
338	305	33	0	
351	318	33	0	
364	331	33	0	
377	344	33	0	
390	357	33	0	
403	370	33	0	
416	372	44	0	
429	385	44	0	
442	398	44	0	
13	13	0	3	
26	26	0	5	
39	28	11	4	
